word,normalized_word,dataset,original_label,video_path,original_filename,signer,split,fps,resolution,duration,license,paper,repository,download_url,sha256,phash,quality_score,duplicate_status,review_status
eat,eat,CISLR,eat,eat/eat__CISLR__00016__Cgs1MibMXJ0.mp4,Cgs1MibMXJ0.mp4,action,,25.0,300x300,3.52,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,b0de221a328819c99b4ae567cf837ffa1e5fc08a59f1cd848b1b8ae103cf20ea,ffe7ffffd3c3e3c3,0.85,unique,accepted
eat,eat,ISL500,eat,eat/eat__ISL500__00082__Eat__session112__clip008.mp4,Eat__session112__clip008.mp4,User001,,29.58333333333333,2560x1440,5.341,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,e788f4edb95e80dd69042bc512d839475f52f76ce0c9628e37e008950cb5acb3,e7e7c70703030303,1.0,unique,accepted
eat,eat,ISL500,eat,eat/eat__ISL500__00109__Eat__session150__clip002.mp4,Eat__session150__clip002.mp4,User002,,29.58333333333333,2560x1440,3.982,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,4530f5de3f9524f210dd84efef657978f680d9f14bec684ffd31e699b90698b7,e7e7e7e7e7c38383,1.0,unique,accepted
eat,eat,ISL500,eat,eat/eat__ISL500__00136__Eat__session132__clip022.mp4,Eat__session132__clip022.mp4,User003,,29.58333333333333,2560x1440,6.511,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,bf952624f87a7b22e3ebcb9bd94af61e16e046872541068234cd580a992969ba,e7e7e7e7e7e74343,1.0,unique,accepted
eat,eat,ISL500,eat,eat/eat__ISL500__00163__Eat__session110__clip005.mp4,Eat__session110__clip005.mp4,User004,,29.58333333333333,2560x1440,3.136,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,42ffe79b26d284acf657723b82de490c6a44429a7081b471d175ad8e33febe2c,f7e7f7f7e7c3c341,1.0,unique,accepted
eat,eat,ISL500,eat,eat/eat__ISL500__00190__Eat__session135__clip033.mp4,Eat__session135__clip033.mp4,User005,,29.58333333333333,2560x1440,4.405,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,e104fbca6900da5359a378f301c07130457fd47ae0cc9d59eebc647be2d0e540,ffe7e7f7e7c3c2c0,1.0,unique,accepted
eat,eat,ISL500,eat,eat/eat__ISL500__00217__Eat__session153__clip010.mp4,Eat__session153__clip010.mp4,User006,,29.58333333333333,2560x1440,5.473,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,5d616ecf114f6f8c280fb7f61949e7486ed5d011e46b116207a16379e67f3a66,e7e7e7e7e7ff0300,1.0,unique,accepted
go,go,CISLR,go,go/go__CISLR__00039__PQoocuBF2f8_1.mp4,PQoocuBF2f8_1.mp4,process,,25.0,300x300,2.52,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,c214c903c0cc91e05ffd757397e50526a96dda7857cb5edc1481a364d09ae318,fff7ffffc38181c1,0.85,unique,accepted
go,go,ISL500,go,go/go__ISL500__00086__Go__session118__clip011.mp4,Go__session118__clip011.mp4,User001,,29.58333333333333,2560x1440,5.465,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,77bddb6218461ed5ba93ae9b444a7143e56124505781b4292914a5bd82f54e15,f7f7d7c7c3030303,1.0,unique,accepted
go,go,ISL500,go,go/go__ISL500__00113__Go__session160__clip026.mp4,Go__session160__clip026.mp4,User002,,29.58333333333333,2560x1440,2.062,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,97cde012b1b777489577e1abeb802f78c11246f79f374590dd8bcfdfb2e2d148,e7e7f7f7c7c38383,1.0,unique,accepted
go,go,ISL500,go,go/go__ISL500__00140__Go__session10__clip004.mp4,Go__session10__clip004.mp4,User003,,29.58333333333333,2560x1440,7.416,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,9391f92759e2f277df4b418c783825d9c047e68aa140c2ac31d5f4f7fc18e974,f3f3fbf3e3e1e1c1,1.0,unique,accepted
