kept,removed,reason,word
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\0t5NaJwemgI_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\DfohDPZVlrA_1.mp4,phash<=3 same signer,mother
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\1GJkBoBf-S0_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\Svm8Kk4Vr2Q_1.mp4,phash<=3 same signer,stand
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\0t5NaJwemgI_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\UbLgHH4sOtA_1.mp4,phash<=3 same signer,mother
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\0t5NaJwemgI_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\VqekGul5Xb0_1.mp4,phash<=3 same signer,mother
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\0t5NaJwemgI_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\YwR00ZeFcQY_1.mp4,phash<=3 same signer,mother
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\-4MbWP5T-cU.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\Yz4vZ5ALDfw.mp4,phash<=3 same signer,thank you
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\E91cfQBn8_4_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\d9fEfBJmy0Y_1.mp4,phash<=3 same signer,help
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\0t5NaJwemgI_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\m7cfsP8_omM_1.mp4,phash<=3 same signer,mother
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\EZpZvb2wicY.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\mdghSfzgn_w.mp4,phash<=3 same signer,okay
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\FHwjyQeLNuY.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\mwUQPlBBZgE.mp4,phash<=3 same signer,stop
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\jWWLAybE8C8_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\q4UZa51yFUA_1.mp4,phash<=3 same signer,sister
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\UDcg2skGRXM_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\rOcFkQzLhLQ_1.mp4,phash<=3 same signer,brother
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\1XLi2MXWjGc_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\vRs1P7sa3F4_1.mp4,phash<=3 same signer,today
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\ZanVx78hi-g_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\vWkwy9ebsQg_1.mp4,phash<=3 same signer,water
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\-4MbWP5T-cU.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\wK8amEJAK1Y.mp4,phash<=3 same signer,thank you
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\W_qFjH-GKzA_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\yY9c0CnaXgA_1.mp4,phash<=3 same signer,thank you
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\Gm2HCSz7Jqg_1.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\CISLR\videos\z2ETf2ExVsU_1.mp4,phash<=3 same signer,father
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\ISLRTC_dict\C\Come.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\ISLRTC_dict\C\Come_(Sign_2).mp4,phash<=3 same signer,come
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\ISLRTC_dict\O\Okay.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\ISLRTC_dict\O\Okay_(Sign_2).mp4,phash<=3 same signer,okay
C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\ISLRTC_dict\S\Sorry.mp4,C:\Users\Vidit\OneDrive\Desktop\IPD\raw_datasets\ISLRTC_dict\S\Sorry_(Sign_3).mp4,phash<=3 same signer,sorry
