word,normalized_word,dataset,original_label,video_path,original_filename,signer,split,fps,resolution,duration,license,paper,repository,download_url,sha256,phash,quality_score,duplicate_status,review_status
thank you,thank you,CISLR,thank you,ISL_DATASET\thank_you\thank_you__CISLR__00000__-4MbWP5T-cU.mp4,-4MbWP5T-cU.mp4,gesture,,30.0,480x480,3.0,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,bb7289997c086474a027f232ef29ad3109cdc6199e7390a9fb705387976381a8,ffefe7ffe381c181,0.85,unique,accepted
teacher,teacher,CISLR,teacher,ISL_DATASET\teacher\teacher__CISLR__00001__-PGXFLhDfS0_1.mp4,-PGXFLhDfS0_1.mp4,profession,,30.0,480x480,2.733333,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,8a6ed0b4a9e094695952544738e649e12d4bc340a7e67e9ac4be5e8c94f5af1b,fee7ffffc38181f3,0.85,unique,accepted
sorry,sorry,CISLR,sorry,ISL_DATASET\sorry\sorry__CISLR__00002__0sE5EMDNsDo.mp4,0sE5EMDNsDo.mp4,greeting,,30.0,480x480,2.966667,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,138c421d810f270328bf4592180de9fdfa7c323f02cdbe8678e49858ce247ce7,ffefdfffc387c7c3,0.85,unique,accepted
mother,mother,CISLR,mother,ISL_DATASET\mother\mother__CISLR__00003__0t5NaJwemgI_1.mp4,0t5NaJwemgI_1.mp4,relation,,30.0,480x480,4.0,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,31490f1551cde41ccdc8bcccd16f7b7a1f703c890df4c9a283c34418e7c2ca8f,ffffffffe1e1c1c1,0.85,unique,accepted
stand,stand,CISLR,stand,ISL_DATASET\stand\stand__CISLR__00004__1GJkBoBf-S0_1.mp4,1GJkBoBf-S0_1.mp4,action,,30.0,480x480,3.0,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,9abb40feb1722c3af7f5bc7205256920ccaf7fcb587a44cb128ad0324da1f1be,00e2e0f42e3e3638,0.85,unique,accepted
today,today,CISLR,today,ISL_DATASET\today\today__CISLR__00005__1XLi2MXWjGc_1.mp4,1XLi2MXWjGc_1.mp4,time,,30.0,480x480,2.5,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,ab501348c6bab7d3553860ff102a1885bc7a20f9298e5d752bc339e307cdea71,ffefe7ffc3c3c1c1,0.85,unique,accepted
me,me,CISLR,me,ISL_DATASET\me\me__CISLR__00006__1f6OchgCQrE.mp4,1f6OchgCQrE.mp4,human,,30.0,480x480,4.8,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,c3a1327d36d64a3fdf48dc069411051d84464cb9c11e08d4b7c4df0a595e2cb3,ffffffe7c38383c3,0.85,unique,accepted
sit,sit,CISLR,sit,ISL_DATASET\sit\sit__CISLR__00007__2AGfP7x3obk_1.mp4,2AGfP7x3obk_1.mp4,action,,30.0,480x480,3.0,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,53a527313162cddbdf3b3c4c3400fe70c809a158203edbbe8b23269e66b43e6d,00e0c0e03c3e3c1c,0.85,unique,accepted
home,home,CISLR,home,ISL_DATASET\home\home__CISLR__00008__3SRihi99gjc_1.mp4,3SRihi99gjc_1.mp4,geography,,30.0,480x480,4.0,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,7e292c5f62b07850607216c6be840fd226ebe852a6346b939505a6eaa73d4e35,00e060407e3c3c3c,0.85,unique,accepted
what,what,CISLR,what,ISL_DATASET\what\what__CISLR__00009__4accXsYqRnA.mp4,4accXsYqRnA.mp4,abstract,,30.0,480x480,2.6,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,6ee41db0e39b5da51ada81fb6c5e3efb78bdd48a5416d9dc5ab93982bd017a1e,ffffffffc7c3c183,0.85,unique,accepted
water,water,CISLR,water,ISL_DATASET\water\water__CISLR__00010__5FSC6Og1RBQ_2.mp4,5FSC6Og1RBQ_2.mp4,substance,,30.0,480x480,2.6,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,90e528ebd49e8e224a72e28e5801a6b97fb3834c58bab6cb5423a569cd930b1e,0000fff7ffffbe1c,0.85,unique,accepted
drink,drink,CISLR,drink,ISL_DATASET\drink\drink__CISLR__00011__6X8mSzwuKWw_1.mp4,6X8mSzwuKWw_1.mp4,action,,30.0,480x480,2.533333,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,7ffdafbfb6ecafe344360a48b5279b1bee4c3843fc03092f16a16815e426d2cf,000000003e3e3e3e,0.85,unique,accepted
where,where,CISLR,where,ISL_DATASET\where\where__CISLR__00012__8wgrPnyzpMw.mp4,8wgrPnyzpMw.mp4,abstract,,30.0,480x480,2.466667,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,1f3bb2933a9620f5ff2446eb9b83fb3277ff141ec70f5116baa96d8a5bab531b,ffffffe7c3c38183,0.85,unique,accepted
she,she,CISLR,she,ISL_DATASET\she\she__CISLR__00013__BXw0xmFB8pQ_1.mp4,BXw0xmFB8pQ_1.mp4,abstract,,30.0,480x480,3.0,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,d298cbe6b1f3066e38265b8727a95c84fa3ec7ea1d66e798cc99b2cc6733d9e5,ffe7efffe3e1c1c0,0.85,unique,accepted
