word,videos_found,status
hello,36,partial
goodbye,3,partial
thank you,39,partial
sorry,6,partial
please,18,partial
yes,17,partial
no,17,partial
help,16,partial
stop,4,partial
okay,23,partial
me,3,partial
you,18,partial
he,17,partial
she,17,partial
mother,18,partial
father,16,partial
brother,3,partial
sister,17,partial
friend,38,partial
teacher,17,partial
student,17,partial
home,1,partial
school,37,partial
hospital,21,partial
market,36,partial
eat,18,partial
drink,16,partial
water,18,partial
food,17,partial
tea,17,partial
come,4,partial
go,17,partial
sit,19,partial
stand,2,partial
read,3,partial
write,3,partial
what,17,partial
where,17,partial
when,2,partial
today,17,partial
